,count,mean,std,min,25%,50%,75%,max
target_market_value,20256.0,2201534.1133491313,7604762.061917976,10000.0,150000.0,300000.0,1000000.0,200000000.0
age_at_valuation,20256.0,28.884866589245608,4.966359341651853,17.23750855578371,24.917180013689254,28.82135523613963,32.79671457905544,45.36892539356605
height_in_cm,20256.0,182.46470181674565,6.619960994928548,159.0,178.0,183.0,187.0,210.0
fifa_overall,20256.0,67.05859992101105,6.222412099611076,45.0,63.0,67.0,71.0,91.0
fifa_potential,20256.0,71.46099921011059,5.581156315639213,49.0,68.0,71.0,75.0,94.0
fifa_reputation,20256.0,1.1549170616113744,0.4554651952629882,1.0,1.0,1.0,1.0,5.0
